Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Jarvis Landry*,MIA,25,WR,16,16,161,112,69.60%,987,8.8,9,49,7,61.7,4
2,Larry Fitzgerald*,ARI,34,WR,16,16,161,109,67.70%,1156,10.6,6,37,6.8,72.3,1
3,Michael Thomas*,NOR,24,WR,16,14,149,104,69.80%,1245,12,5,43,6.5,77.8,0
4,Keenan Allen*,LAC,25,WR,16,15,159,102,64.20%,1393,13.7,6,51,6.4,87.1,1
5,Antonio Brown*+,PIT,29,WR,14,14,163,101,62.00%,1533,15.2,9,57,7.2,109.5,4
6,DeAndre Hopkins*+,HOU,25,WR,15,15,174,96,55.20%,1378,14.4,13,72,6.4,91.9,1
7,Golden Tate,DET,29,WR,16,12,120,92,76.70%,1003,10.9,5,71,5.8,62.7,1
8,Adam Thielen*,MIN,27,WR,16,16,142,91,64.10%,1276,14,4,65,5.7,79.8,3
9,Julio Jones*,ATL,28,WR,16,16,148,88,59.50%,1444,16.4,3,53,5.5,90.3,0
10,Le'Veon Bell*+,PIT,25,RB,15,15,106,85,80.20%,655,7.7,2,42,5.7,43.7,3
11,Travis Kelce*,KAN,28,TE,15,15,122,83,68.00%,1038,12.5,8,44,5.5,69.2,0
12,Demaryius Thomas,DEN,30,WR,16,16,140,83,59.30%,949,11.4,5,40,5.2,59.3,1
13,Alvin Kamara*,NOR,22,fb/rb,16,3,100,81,81.00%,826,10.2,5,40,5.1,51.6,1
14,Jack Doyle*,IND,27,TE,15,15,108,80,74.10%,690,8.6,4,26,5.3,46,2
15,Christian McCaffrey,CAR,21,RB,16,10,113,80,70.80%,651,8.1,5,37,5,40.7,2
16,Doug Baldwin*,SEA,29,WR,16,16,116,75,64.70%,991,13.2,8,54,4.7,61.9,0
17,A.J. Green*,CIN,29,WR,16,16,143,75,52.40%,1078,14.4,8,77,4.7,67.4,2
18,Tyreek Hill*,KAN,23,WR,15,13,105,75,71.40%,1183,15.8,7,79,5,78.9,2
19,Davante Adams*,GNB,25,WR,14,14,117,74,63.20%,885,12,10,55,5.3,63.2,0
20,Zach Ertz*,PHI,27,TE,14,13,110,74,67.30%,824,11.1,8,53,5.3,58.9,1
21,Duke Johnson,CLE,24,,16,0,93,74,79.60%,693,9.4,3,41,4.6,43.3,4
